timestamp;hmlcb_perc_fit_traces;hmlcb_average_trace_fitness;hmlcb_log_fitness;hmlc_average_trace_fitness;hmlc_log_fitness;dominant_feature;
29.05.25 05:34;0;0,059166667;0,154696133;0,09047619;0,232044199;Temporal Dependency;
29.05.25 05:34;0;0,166178571;0,289156627;0,099428571;0,161490683;Temporal Dependency;
29.05.25 05:34;0;0,25;0,333333333;0;0;Temporal Dependency;
29.05.25 05:34;0;0,403333333;0,403333333;0;0;Temporal Dependency;
29.05.25 05:34;0;0,216;0,237885463;0,513333333;0,513333333;Temporal Dependency;
29.05.25 05:34;12;0,456666667;0,568627451;0;0;Temporal Dependency;
29.05.25 05:34;0;0,07;0,145833333;0;0;Temporal Dependency;
29.05.25 05:35;0;0,20414179;0,72;0,193358326;0,636363636;Temporal Dependency;
29.05.25 05:35;0;0,186619048;0,236933798;0;0;Temporal Dependency;
29.05.25 05:35;0;0,213428571;0,365497076;0;0;Temporal Dependency;
29.05.25 05:35;0;0,5;0,5;0;0;Temporal Dependency;
29.05.25 05:35;0;0,647279103;0,827754108;0,433756008;0,647058824;Temporal Dependency;
29.05.25 05:35;0;0,382536935;0,47985348;0;0;Parallel Activity Ratio;
29.05.25 05:35;8;0,413333333;0,515789474;0;0;Parallel Activity Ratio;
29.05.25 05:35;0;0,666666667;0,666666667;0;0;Parallel Activity Ratio;
29.05.25 05:35;0;0,5;0,5;0;0;Parallel Activity Ratio;
29.05.25 05:36;0;0,446666667;0,446666667;0;0;Parallel Activity Ratio;
29.05.25 05:36;0;0;0;0;0;Parallel Activity Ratio;
29.05.25 05:36;0;0;0;0;0;Parallel Activity Ratio;
29.05.25 05:36;0;0,5;0,5;0;0;Parallel Activity Ratio;
29.05.25 05:36;0;0,645332858;0,679946879;0;0;Parallel Activity Ratio;
29.05.25 05:36;0;0,344586751;0,53250774;0,159300923;0,387205387;Parallel Activity Ratio;
29.05.25 05:36;0;0,203122324;0,609060403;0;0;Parallel Activity Ratio;
29.05.25 05:36;0;0,135;0,234782609;0;0;Parallel Activity Ratio;
29.05.25 05:36;0;0,5;0,5;0;0;Parallel Activity Ratio;
29.05.25 05:37;1;0,369400022;0,539553753;0;0;Parallel Activity Ratio;
29.05.25 05:37;0;0,12;0,214285714;0;0;Parallel Activity Ratio;
