index,temporal_dependency,parallel_activity_ratio,long_term_dependencies,activity_appearance_rate,unique_paths_ratio
0 - 100,0.14464649805143462,0.005490196078431373,0.023666666666666666,7.0,1.0
100 - 200,0.1552501614775661,0.012452830188679246,0.03628571428571429,0.3333333333333333,1.0
200 - 300,0.13045729814297968,0.008703220191470844,0.031111111111111117,0.0,1.0
300 - 400,0.10628530763669,0.011739594450373533,0.03455,0.0,1.0
400 - 500,0.14728955199891874,0.020766773162939296,0.03733766233766234,0.0,1.0
